#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-04-28T15:02:45 [V7.296]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.296	
#INFO	-ref=VIZ644bdffe11d3b8	
#INFO	-out.max=99999	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=99999
#-nav=cat:VIII/99&tab:{VIII/99/radio}&key:source=VIII/99/radio&HTTPPRM:&
#-source=VIII/99/radio
#-order=I
#-out=Seq
#-out=Freq
#-out=l_Smax
#-out=Smax
#-out=l_Smin
#-out=Smin
#-out=r_Smax
#-out=Notes
#

#RESOURCE=yCat_8099
#Name: VIII/99
#Title: Catalogue of Radio Stars (Wendker, 2001)
#Table	VIII_99_radio:
#Name: VIII/99/radio
#Title: Radio data
#Column	Seq	(I4)	[1/3699] Star number, as in file "stars"	[ucd=meta.record]
#Column	Freq	(I6)	Frequency of radio measurement	[ucd=em.freq]
#Column	l_Smax	(A1)	Limit flag on Smax	[ucd=meta.code.error]
#Column	Smax	(F10.3)	Maximum Flux at Freq	[ucd=phot.flux.density;em.radio]
#Column	l_Smin	(A1)	Limit flag on Smin	[ucd=meta.code.error]
#Column	Smin	(F10.3)	Minimum Flux at Freq	[ucd=phot.flux.density;em.radio]
#Column	r_Smax	(I4)	? Reference of Fluxes (details in "refs.dat") [NULL integer written as an empty string]	[ucd=meta.ref;pos.frame]
#Column	Notes	(a56)	Remarks and notes about the radio flux	[ucd=meta.note]
Seq	Freq	l_Smax	Smax	l_Smin	Smin	r_Smax	Notes
 814	  1483	<	     0.900	 	     0.000	 925	  09/86;
 814	  4885	<	     0.500	 	     0.000	 542	  84-85;
 814	  4885	<	     0.150	 	     0.000	 672	  06/86;
 815	  4885	<	     0.500	 	     0.000	 542	  84-85;
 816	  4885	<	     0.500	 	     0.000	 542	  84-85;
 817	  1483	<	     0.900	 	     0.000	 925	  09/86;
 818	  1483	<	     0.900	 	     0.000	 925	  09/86;
 819	  4885	<	     0.500	 	     0.000	 542	  84-85;
 820	  1483	<	     0.900	 	     0.000	 925	  09/86;
 821	  1483	<	     0.900	 	     0.000	 925	  09/86;
 821	  4885	<	     0.500	 	     0.000	 542	  84-85;
 822	  4885	<	     0.500	 	     0.000	 542	  84-85;
 823	  4885	<	     0.500	 	     0.000	 542	  84-85;
 824	  4885	<	     0.500	 	     0.000	 542	  84-85;
 825	  1483	<	     0.900	 	     0.000	 925	  09/86;
 826	  4885	<	     0.100	 	     0.000	 642	  /86?;
 826	  8400	 	     0.166	 	     0.000	1100	  06/95; comp. A and B;
 827	  4885	<	     0.500	 	     0.000	 542	  84-85;
 828	  4885	<	     0.500	 	     0.000	 542	  84-85;
 829	  1483	<	     0.900	 	     0.000	 925	  09/86;
 830	  1483	<	     0.900	 	     0.000	 925	  09/86;
 831	  4885	<	     0.500	 	     0.000	 542	  84-85;
 832	  4885	<	     0.520	 	     0.000	 455	  02/82;
 832	111700	<	     6.000	 	     0.000	1169	  07/93-11/94;
 832	230000	 	    36.000	 	     0.000	 744	  04/88;
 832	230000	 	    15.000	 	     0.000	1058	  12/93;
 832	250000	 	    10.000	 	     0.000	 950	  03/89;
 833	  4885	<	     0.500	 	     0.000	 542	  84-85;
 834	  4885	<	     0.520	 	     0.000	 455	  02/82;
 834	111700	<	     6.000	 	     0.000	1169	  07/93-11/94;
 834	230000	<	    16.000	 	     0.000	1058	  12/93;
 835	  4885	<	     0.500	 	     0.000	 542	  84-85;
 836	  8440	 	     0.360	 	     0.000	1133	  04/94;
 836	115000	 	    69.100	 	     0.000	1237	  10-12/95;
 837	  4885	<	     0.670	 	     0.000	 455	  02/82;
 837	 10500	<	     8.000	 	     0.000	 290	  02/78;
 837	 15000	<	     8.000	 	     0.000	 368	  10/79;
 837	230000	<	    25.000	 	     0.000	 744	  04/88;
 837	250000	<	    15.000	 	     0.000	 950	  12/87-01/88;
 837	375000	<	    78.000	 	     0.000	1019	  11/90-04/91;
 837	375000	<	    19.000	 	     0.000	1028	  01/93;
 838	  1490	 	     0.260	 	     0.000	 569	  11/83;
 838	  4885	 	     0.700	 	     0.000	 365	  03/81;
 838	  4885	 	     1.200	 	     0.000	 455	  02/82; resolved along NE-SW line;
 838	  4885	 	     1.300	 	     1.000	 569	  2 obs. 11/83-05/85;
 838	  4885	 	     0.600	 	     0.000	 611	  12/84;
 838	  5000	<	     9.000	 	     0.000	 290	  04/78;
 838	  8000	<	    21.000	 	     0.000	 290	  10/77;
 838	 10500	<	     9.000	 	     0.000	 290	  02/78;
 838	 14940	 	     2.010	 	     0.000	 569	  11/83; integrated flux of a bipolar structure;
 838	 15000	<	    14.000	 	     0.000	 368	  10/79;
 838	 23000	 	     2.900	 	     0.000	 368	  10/80;
 838	 31400	<	   110.000	 	     0.000	 293	  01/77;
 838	 90000	<	   160.000	 	     0.000	 293	  10/76;
 838	 90000	<	   204.000	 	     0.000	 950	  01/87;
 838	 98000	 	    57.000	 	     0.000	 818	  12/89-03/90;
 838	110000	 	    71.000	 	     0.000	 939	  88-89;
 838	110000	 	    72.000	 	     0.000	1131	  12/93-02/94;
 838	111700	 	    59.000	 	     0.000	1169	  07/93-11/94;
 838	112000	 	    80.000	 	     0.000	 684	  03/88;
 838	147000	 	   186.000	 	     0.000	1178	  01/95; resolved;
 838	219500	 	   700.000	 	     0.000	 684	  03/88;
 838	230000	 	   443.000	 	     0.000	 744	  04/88;
 838	230000	 	   440.000	 	     0.000	 768	  01/89;
 838	250000	 	   420.000	 	     0.000	 950	  12/86-01/87;
 838	260000	 	   489.000	 	     0.000	 841	  11-12/89;
 838	270000	 	   532.000	 	     0.000	 697	  08/88; same data in (1042);
 838	375000	 	  1233.000	 	     0.000	 697	  08/88; same data in (1042);
 838	375000	 	   940.000	 	     0.000	 768	  01/89;
 838	380000	 	   860.000	 	     0.000	 841	  11-12/89;
 839	  4885	<	     0.500	 	     0.000	 542	  84-85;
 840	  4885	<	     0.500	 	     0.000	 542	  84-85;
 841	  8440	<	     0.150	 	     0.000	1256	  01/96;
 842	  8440	 	     0.480	 	     0.000	1256	  01/96;
 843	  4760	<	     0.130	 	     0.000	 869	  02/90;
 843	  4860	<	     0.700	 	     0.000	 781	  2 obs. 10/86-06/87;
 843	230000	<	    16.000	 	     0.000	1058	  12/93;
 844	  4885	<	     0.500	 	     0.000	 542	  84-85;
 845	  1483	<	     0.900	 	     0.000	 925	  09/86;
 846	  1483	<	     0.900	 	     0.000	 925	  09/86;
 847	  4885	<	     0.500	 	     0.000	 542	  84-85;
 848	  4885	<	     0.500	 	     0.000	 542	  84-85;
 849	  4885	<	     0.500	 	     0.000	 542	  84-85;
 850	  4885	<	     0.500	 	     0.000	 542	  84-85;
 851	  8440	<	     0.120	 	     0.000	1351	  02-03/97;
 852	  1483	<	     0.900	 	     0.000	 925	  09/86;
 853	  1483	<	     0.900	 	     0.000	 925	  09/86;
 854	  1483	<	     0.900	 	     0.000	 925	  09/86;
 855	  8440	<	     0.120	 	     0.000	1351	  02-03/97;
 856	  4885	<	     0.500	 	     0.000	 542	  84-85;
 857	  4885	<	     0.500	 	     0.000	 542	  84-85;
 858	  1483	<	     0.900	 	     0.000	 925	  09/86;
 858	  4885	<	     0.500	 	     0.000	 542	  84-85;
 859	  4885	<	     0.500	 	     0.000	 542	  84-85;
 860	  4885	<	     0.500	 	     0.000	 542	  84-85;
 861	  4885	<	     0.500	 	     0.000	 542	  84-85;
 862	  1483	<	     0.900	 	     0.000	 925	  09/86;
 863	  4885	<	     0.500	 	     0.000	 542	  84-85;
 864	  1483	<	     0.900	 	     0.000	 925	  09/86;
 864	  4885	<	     0.500	 	     0.000	 542	  84-85;
 865	  1483	<	     0.900	 	     0.000	 925	  09/86;
 866	  1483	<	     0.900	 	     0.000	 925	  09/86;
 867	  1483	<	     0.900	 	     0.000	 925	  09/86;
 868	  4885	<	     0.500	 	     0.000	 542	  84-85;
 869	   430	<	    30.000	 	     0.000	 186	  08/74;
 870	  1483	<	     0.900	 	     0.000	 925	  09/86;
 871	  4860	<	     0.700	 	     0.000	 781	  2 obs. 10/86-06/87;
 871	  4885	<	     0.500	 	     0.000	 542	  84-85;
 871	  4885	<	     0.150	 	     0.000	 672	  06/86;
 872	  4885	<	     0.500	 	     0.000	 542	  84-85;
 873	  1483	<	     0.900	 	     0.000	 925	  09/86;
 874	  1483	<	     0.900	 	     0.000	 925	  09/86;
 875	  4885	<	     0.500	 	     0.000	 542	  84-85;
 876	  1483	<	     0.900	 	     0.000	 925	  09/86;
 876	  2380	<	     3.000	 	     0.000	 504	  02/80;
 877	  4860	<	     0.780	 	     0.000	 781	  12/86;
 877	  4885	<	     0.500	 	     0.000	 542	  84-85;
 878	  1483	<	     0.900	 	     0.000	 925	  09/86;
 878	  4885	<	     0.500	 	     0.000	 542	  84-85;
 879	  1483	<	     0.900	 	     0.000	 925	  09/86;
 879	  4885	<	     0.500	 	     0.000	 542	  84-85;
 880	  1483	<	     0.900	 	     0.000	 925	  09/86;
 881	  4885	<	     0.500	 	     0.000	 542	  84-85;
 882	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
 883	  4860	<	     0.600	 	     0.000	 781	  2 obs. 10/86-06/87;
 884	  4885	<	     0.500	 	     0.000	 542	  84-85;
 885	  1483	<	     0.900	 	     0.000	 925	  09/86;
 886	  1483	<	     0.900	 	     0.000	 925	  09/86;
 886	  4885	<	     0.500	 	     0.000	 542	  84-85;
 886	  4885	<	     0.150	 	     0.000	 672	  06/86;
 887	  4860	<	     0.600	 	     0.000	 781	  2 obs. 12/86-06/87;
 888	230000	<	    14.000	 	     0.000	1058	  12/93;
 889	  4885	<	     0.500	 	     0.000	 542	  84-85;
 890	  4885	 	     0.800	 	     0.000	 455	  02/82;
 890	  4885	 	     0.440	 	     0.410	 569	  11/83; 2 components of a radio double;
 890	  8400	 	     0.600	 	     0.000	 896	  01/90;
 890	 88000	 	    11.300	 	     0.000	1249	  92-97;
 890	112000	 	    11.900	 	     0.000	1249	  92-97;
 890	230000	 	   100.000	 	     0.000	 834	  03/90;
 890	230000	 	   116.000	 	     0.000	 940	  08/90-09/91;
 890	230000	 	    87.000	 	     0.000	1058	  12/93;
 890	260000	 	   114.000	 	     0.000	 841	  11-12/89;
 890	275000	 	   138.000	 	     0.000	1299	  90-94;
 890	375000	 	   353.000	 	     0.000	1299	  90-94;
 890	380000	 	   510.000	 	     0.000	 841	  12/90;
 891	230000	<	    15.000	 	     0.000	 744	  04/88;
 892	  4885	<	     0.500	 	     0.000	 542	  84-85;
 893	  4885	<	     0.500	 	     0.000	 542	  84-85;
 894	  4885	<	     0.500	 	     0.000	 542	  84-85;
 895	111700	 	     7.200	 	     0.000	1169	  07/93-11/94;
 895	230000	 	    53.000	 	     0.000	 744	  04/88;
 895	375000	 	    66.000	 	     0.000	1019	  11/90-04/91;
 896	  4860	<	     0.660	 	     0.000	 781	  12/86;
 896	  4885	<	     0.500	 	     0.000	 542	  84-85;
 897	  4885	<	     0.230	 	     0.000	 365	  03/81;
 897	  8440	<	     0.140	 	     0.000	1121	  06/94;
 897	 15000	<	     9.000	 	     0.000	 368	  10/79;
 897	111700	<	     5.000	 	     0.000	1169	  07/93-11/94;
 897	230000	<	    35.000	 	     0.000	 744	  04/88;
 897	250000	<	    25.000	 	     0.000	 950	  12/87-01/88;
 897	375000	<	    72.000	 	     0.000	1019	  11/90-04/91;
 897	375000	<	    25.500	 	     0.000	1028	  01/93;
 898	  1483	<	     0.900	 	     0.000	 925	  09/86;
 898	  4885	<	     0.500	 	     0.000	 542	  84-85;
 899	  4885	<	     0.500	 	     0.000	 542	  84-85;
 900	  1483	<	     0.900	 	     0.000	 925	  09/86;
 901	  4885	 	     0.500	<	     0.100	 627	  4 obs. 08/85-05/86;
 901	  8440	<	     0.160	 	     0.000	1121	  06/94;
 901	  8440	 	     0.330	 	     0.000	1289	  10/91;
 901	230000	<	    15.000	 	     0.000	1058	  12/93;
 902	  4885	 	     0.800	<	     0.200	 627	  4 obs. 08/85-05/86;
 902	  8440	 	     1.280	 	     0.420	1289	  3 obs. 10/91;
 903	  8440	<	     0.090	 	     0.000	1121	  06/94;
 903	230000	 	    87.000	 	     0.000	 744	  04/88;
 903	250000	 	    84.000	 	     0.000	 950	  03/89;
 903	260000	 	   106.000	 	     0.000	 841	  11-12/89;
 903	375000	 	   172.000	 	     0.000	1019	  11/90-04/91;
 903	380000	 	    27.000	 	     0.000	 841	  12/90;
 904	 14965	<	     0.270	 	     0.000	 754	  12/87;
 905	   327	<	    22.000	 	     0.000	 565	  02/86; search for cyclotron maser flares;
 905	  1460	<	     0.220	 	     0.000	 565	  02/86; search for cyclotron maser flares;
 905	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87; both comp.;
 905	  4885	<	     0.150	 	     0.000	 565	  04/86; search for cyclotron maser flares;
 906	  4885	 	     1.300	<	     0.100	 627	  4 obs. 08/85-05/86;
 906	  8440	<	     0.200	 	     0.000	1289	  10/91;
 907	  1420	 	   176.000	 	     0.000	 372	  /81;
 907	  1465	 	    10.800	 	     0.000	 627	  01/85;
 907	  1658	 	    10.000	 	     0.000	1106	  10/93; resolved, MERLIN;
 907	  2300	 	   180.000	 	     0.000	 177	  09/75;
 907	  2300	 	   177.000	 	     0.000	 618	  07/82;
 907	  2695	 	    11.000	 	     0.000	  97	  09/73; star only;
 907	  2695	 	   204.000	 	    14.000	 173	  /75; partially resolved;
 907	  4850	 	   178.000	 	     0.000	 809	  10/87; same data in (825);
 907	  4850	 	   200.000	 	     0.000	1187	  11/86-10/87;
 907	  4885	 	    24.600	 	     0.000	 365	  03/81;
 907	  4885	 	    53.000	 	     0.000	 455	  02/82; sligtly resolved in E-W direction;
 907	  4885	 	    32.000	 	     0.000	 627	  01/85;
 907	  5000	 	   180.000	 	    23.000	 155	  05/74; partially resolved; central point source;
 907	  5000	 	    28.000	 	     0.000	 165	  07/75;
 907	  5000	 	    15.000	 	     0.000	 998	  /92?;
 907	  8085	 	    35.000	 	     0.000	  97	  09/73; star only;
 907	  8085	 	   277.000	 	    41.000	 173	  /75; partially resolved;
 907	  8300	 	   200.000	 	     0.000	 177	  09/75;
 907	  8400	 	   162.000	 	     0.000	 618	  07/82;
 907	  8440	 	    28.020	 	    20.470	1289	  3 obs. 10/91;
 907	 10600	 	   195.000	 	     0.000	 351	  /72-79;
 907	 10680	 	   158.000	 	     0.000	  86	  /73;
 907	 10690	 	   160.000	 	     0.000	 155	  07/73; includes extended emission;
 907	 14965	 	    84.000	 	     0.000	 455	  02/82; sligtly resolved in E-W direction;
 907	 14965	 	    70.000	 	     0.000	 495	  10/83; resolved;
 907	 14965	 	    68.000	 	    58.000	 627	  2 obs. 11/83-01/85;
 907	 15000	 	   207.000	 	     0.000	 368	  10/80;
 907	 22200	 	   172.000	 	     0.000	 351	  75-79;
 907	 22500	 	    59.000	 	     0.000	 627	  01/85;
 907	 31400	 	   365.000	 	     0.000	 293	  2 obs. 10/76-01/77;
 907	 36000	 	   214.000	 	     0.000	 999	  3 obs. 01/86-03/87;
 907	 86000	 	   223.000	 	     0.000	 547	  11/85;
 907	 90000	 	   165.000	 	   134.000	 183	  3 obs. 12/75-12/76;
 907	 90000	 	   353.000	 	     0.000	 293	  10/76;
 907	 90000	 	   330.000	 	     0.000	 351	  02/75-04/77;
 907	 90000	 	   265.000	 	     0.000	 950	  01/87;
 907	110000	 	   185.000	 	     0.000	 784	  12/85-03/86;
 907	219500	 	   700.000	 	     0.000	 684	  03/88;
 907	226000	<	   450.000	 	     0.000	 547	  11/85;
 907	230000	 	   552.000	 	     0.000	1058	  12/93;
 907	250000	 	   613.000	 	     0.000	 950	  2 obs. 12/86-03/89;
 908	  4885	 	     4.200	 	     1.200	 627	  4 obs. 08/85-05/86;
 908	  8440	 	     0.944	 	     0.000	1121	  06/94;
 908	  8440	 	     2.000	<	     0.320	1289	  3 obs. 10/91;
 908	230000	<	    18.000	 	     0.000	1058	  12/93;
 909	  4885	<	     0.500	 	     0.000	 542	  84-85;
 910	  4885	<	     0.500	 	     0.000	 542	  84-85;
 911	  1483	<	     0.900	 	     0.000	 925	  09/86;
 912	  4860	<	     0.600	 	     0.000	 781	  2 obs. 10/86-06/87;
 912	  4885	<	     0.160	 	     0.000	 365	  03/81;
 912	  8440	 	     0.113	 	     0.000	1121	  06/94; comp.B;
 912	230000	 	    73.000	 	     0.000	 744	  04/88;
 912	230000	 	    63.000	 	     0.000	1058	  12/93;
 912	250000	 	   101.000	 	     0.000	 950	  03/89;
 913	  1483	<	     0.900	 	     0.000	 925	  09/86;
 914	  1483	<	     0.900	 	     0.000	 925	  09/86;
 915	230000	<	    20.000	 	     0.000	 744	  04/88;
 916	  4885	<	     0.500	 	     0.000	 542	  84-85;
 917	230000	 	    20.000	 	     0.000	 744	  04/88;
 918	  4860	<	     9.000	 	     0.000	 781	  2 obs. 12/86-06/87;
 919	  4885	<	     0.500	 	     0.000	 542	  84-85;
 920	  4860	<	     0.650	 	     0.000	 781	  2 obs. 10/86-06/87;
 921	  4885	<	     0.290	 	     0.000	 455	  02/82;
 921	230000	 	    35.000	 	     0.000	 744	  04/88;
 921	230000	<	   100.000	 	     0.000	 768	  01/89;
 921	250000	 	    39.000	 	     0.000	 950	  03/89;
 922	  4885	<	     0.500	 	     0.000	 542	  84-85;
 923	  4885	<	     0.500	 	     0.000	 542	  84-85;
 924	  4885	<	     0.500	 	     0.000	 542	  84-85;
 925	  4885	<	     0.500	 	     0.000	 542	  84-85;
 926	230000	<	    15.000	 	     0.000	 744	  04/88;
 926	375000	<	   100.500	 	     0.000	1028	  01/93;
 927	  8440	<	     0.190	 	     0.000	1256	  01/96;
 928	  4885	<	     0.500	 	     0.000	 542	  84-85;
 929	230000	<	    19.000	 	     0.000	1058	  12/93;
 930	  4885	<	     0.500	 	     0.000	 542	  84-85;
 931	  4885	<	     0.500	 	     0.000	 542	  84-85;
 932	  4860	<	     1.680	 	     0.000	 781	  12/86;
 933	  8440	<	     0.210	 	     0.000	1256	  01/96;
 934	  4885	<	     0.500	 	     0.000	 542	  84-85;
 935	  4885	<	     0.500	 	     0.000	 542	  84-85;
 936	  1483	<	     0.900	 	     0.000	 925	  09/86;
 937	111700	<	     8.000	 	     0.000	1169	  07/93-11/94;
 937	230000	<	    20.000	 	     0.000	 744	  04/88;
 938	  1483	<	     0.900	 	     0.000	 925	  09/86;
 939	  8440	<	     0.220	 	     0.000	1256	  01/96;
 940	  4860	<	     0.700	 	     0.000	 781	  2 obs. 10/86-06/87;
 941	  8440	<	     0.310	 	     0.000	1256	  01/96;
 942	  4860	<	     0.600	 	     0.000	 781	  2 obs. 10/86-06/87;
 942	230000	<	    18.000	 	     0.000	1058	  12/93;
 943	  1483	<	     0.900	 	     0.000	 925	  09/86;
 943	  4885	<	     0.500	 	     0.000	 542	  84-85;
 944	  1483	<	     0.900	 	     0.000	 925	  09/86;
 945	  4885	<	     0.500	 	     0.000	 542	  84-85;
 946	  1465	 	     2.280	 	     0.000	 467	  11/83; resolved;
 946	  1465	 	     2.800	 	     0.000	 475	  12/81;
 946	  1667	 	     4.000	 	     0.000	 685	  11/85-01/86;
 946	  4830	 	     4.200	 	     0.000	 585	  08/84;
 946	  4885	 	     3.500	 	     0.000	 365	  03/81;
 946	  4885	 	     3.000	 	     0.000	 455	  02/82; sligtly extended;
 946	  4885	 	     4.690	 	     0.000	 467	  11/83; resolved;
 946	  4885	 	     4.300	 	     0.000	 475	  12/81; unresolved core with jet-like (10"-15") em.;
 946	  4885	 	     5.000	 	     0.000	 611	  12/84;
 946	  4885	 	     4.100	 	     0.000	 765	  09/88;
 946	  4885	 	     4.590	 	     0.000	 789	  /?;
 946	  8440	 	     0.780	 	     0.700	1288	  12/96; comp.A and B of a double; extended emission;
 946	  8450	 	     4.700	 	     0.000	 765	  09/88;
 946	 14940	 	     2.250	 	     0.000	 522	  01/85; peak flux read off map; resolved; double+halo;
 946	 14965	<	     1.800	 	     0.000	 455	  02/82; sligtly extended;
 946	 14965	 	     4.690	 	     0.590	 467	  11/83; resolved; interpreted as jet in a binary;
 946	 14965	<	     4.200	 	     0.000	 475	  12/81;
 946	 14965	 	     4.900	 	     0.000	 765	  09/88;
 946	 14965	 	     4.690	 	     0.000	 789	  /?;
 946	 22485	 	    17.000	 	     0.000	 465	  11/82; flux may be contaminated by extended/line em.;
 946	 22500	 	     7.300	 	     0.000	 765	  09/88;
 946	 23710	 	     7.000	 	     0.000	 964	  11/91-01/92;
 946	 43000	 	     7.400	 	     4.800	1288	  01/97; comp.A and B of a double;
 946	 88000	 	    90.000	 	     0.000	 765	  83-84;
 946	 88000	 	    80.800	 	     0.000	1249	  92-97;
 946	 90000	 	   123.000	 	     0.000	 950	  01/87;
 946	 98000	 	   130.000	 	     0.000	 818	  12/89-03/90;
 946	108000	 	   162.000	 	     0.000	1244	  10/96-03/97; marginally resolved with 45 and 23 mJy;
 946	110000	 	   130.000	 	     0.000	 765	  83-87;
 946	110000	 	   160.000	 	     0.000	1183	  12/93-02/95;
 946	110000	 	   171.000	 	   149.000	1301	  2 obs. 12/95-02/96;
 946	112000	 	    97.100	 	     0.000	1249	  92-97;
 946	112000	 	   150.000	 	     0.000	 789	  /?;
 946	113000	 	   170.000	 	     0.000	 580	  83-86; point source; same data in (684) and (765);
 946	140000	 	 15000.000	 	     0.000	 391	  12/80; includes nebular emission;
 946	219500	 	   700.000	 	     0.000	 684	  03/88;
 946	230000	 	  1500.000	 	     0.000	 834	  03/90;
 946	230000	 	  1569.000	 	     0.000	 940	  08/90-09/91;
 946	230000	 	  1276.000	 	     0.000	1058	  12/93;
 946	230000	 	  1827.000	 	     0.000	1170	  10/92;
 946	230000	 	  2469.000	 	     0.000	1245	  02/93-04/95;
 946	240000	 	  2370.000	 	     0.000	 765	  09/88;
 946	250000	 	  1720.000	 	     0.000	 950	  2 obs. 12/86-01/88;
 946	264000	 	  2770.000	 	     0.000	1042	  09/91;
 946	275000	 	  5100.000	 	  3200.000	1067	  10/91; total flux density and compact source;
 946	300000	 	  5700.000	 	     0.000	 765	  11/85;
 946	345000	 	  6363.000	 	     0.000	 940	  08/90-09/91;
 946	345785	 	  2240.000	 	     0.000	1034	  11/91; resolved;
 946	375000	 	 16900.000	 	  8000.000	1067	  10/91; total flux density and compact source;
 946	394000	 	  8050.000	 	     0.000	1042	  09/91;
 946	420000	 	107000.000	 	     0.000	 391	  12/80; includes nebular emission;
 947	230000	 	    32.000	 	     0.000	1058	  12/93;
 948	  1483	<	     0.900	 	     0.000	 925	  09/86;
 948	  4885	<	     0.500	 	     0.000	 542	  84-85;
 949	230000	 	    35.000	 	     0.000	 940	  08/90-09/91;
 950	  1465	<	     5.000	 	     0.000	 439	  10/81;
 950	  4885	<	     0.160	 	     0.000	 365	  03/81;
 950	  4885	<	     1.000	 	     0.000	 439	  10/81;
 950	  4885	<	     0.400	 	     0.000	 455	  02/82;
 950	  4885	 	     0.250	 	     0.000	 490	  04-05/84; extended; jet-like?;
 950	  4885	 	     0.550	 	     0.190	 553	  3 obs. 05/84-07/85;
 950	  4885	<	     0.170	 	     0.000	 611	  12/84;
 950	  5000	<	     0.320	 	     0.000	1389	  11-12/96;
 950	  8440	 	     0.430	 	     0.000	 884	  12/91;
 950	  8440	 	     0.520	 	     0.000	1016	  11/92;
 950	 14965	<	     6.000	 	     0.000	 439	  10/81;
 950	 14965	 	     0.790	 	     0.680	 553	  2 obs. 05-07/85;
 950	 22000	 	     2.900	 	     0.000	 884	  12/91;
 950	 23000	 	     4.900	 	     0.000	 368	  10/80;
 950	 23710	<	     2.100	 	     0.000	 964	  11/91-01/92;
 950	 31400	<	   110.000	 	     0.000	 293	  01/77;
 950	 90000	<	   100.000	 	     0.000	 183	  12/75;
 950	 90000	<	   486.000	 	     0.000	 950	  01/87;
 950	 98000	 	    74.000	 	     0.000	 818	  12/89-03/90;
 950	 98000	 	    75.000	 	     0.000	 878	  11/89-03/91;
 950	110000	 	   104.000	 	     0.000	1127	  12/90-12/91;
 950	110000	 	   100.000	 	     0.000	1177	  12/94-01/95; same data in (1252);
 950	110200	 	   120.000	 	     0.000	 619	  12/85-03/86;
 950	112000	 	   100.000	 	     0.000	 562	  04-07/84;
 950	112000	 	   112.000	 	     0.000	 842	  01-05/89;
 950	219500	 	  1000.000	 	     0.000	 684	  03/88;
 950	220000	 	   800.000	 	     0.000	1252	  01/94; interferometer visibilities only;
 950	230000	 	   879.000	 	     0.000	 744	  04/88;
 950	230000	 	  1110.000	 	     0.000	 768	  01/89;
 950	230000	 	   646.000	 	     0.000	 940	  08/90-09/91;
 950	230000	 	  1233.000	 	     0.000	1245	  02/93-04/95;
 950	250000	 	   961.000	 	     0.000	 950	  3 obs. 12/86-03/89;
 950	260000	 	  1113.000	 	     0.000	 841	  11-12/89;
 950	270000	 	  1490.000	 	     0.000	 697	  08/88;
 950	275000	 	  1490.000	 	     0.000	1299	  90-94;
 950	345785	 	  2520.000	 	     0.000	1034	  11/91; resolved; same data in (1252);
 950	375000	 	  3160.000	 	     0.000	 697	  08/88;
 950	375000	 	  2580.000	 	     0.000	 768	  01/89;
 950	375000	 	  3160.000	 	     0.000	1299	  90-94;
 950	380000	 	  3200.000	 	     0.000	 841	  11/89-12/90;
 951	  4885	<	     0.160	 	     0.000	 365	  03/81;
 951	  4885	 	     0.240	 	     0.000	 490	  04-05/84;
 951	  4885	 	     0.270	 	     0.120	 553	  3 obs. 05/84-07/85;
 951	  4885	<	     0.170	 	     0.000	 611	  12/84;
 951	  8440	 	     0.250	 	     0.000	 884	  12/91;
 951	  8440	 	     0.230	 	     0.000	1016	  11/92;
 951	 10500	<	    13.000	 	     0.000	 290	  02/78;
 951	 14965	 	     0.790	 	     0.270	 553	  2 obs. 05-07/85;
 951	 22000	<	     0.600	 	     0.000	 884	  12/91;
 951	 23000	<	     3.000	 	     0.000	 368	  10/80;
 951	 31000	<	   110.000	 	     0.000	 293	  01/77;
 951	230000	 	    17.000	 	     0.000	 744	  04/88;
 951	230000	 	    14.000	 	     0.000	1058	  12/93;
 952	  4860	 	     1.400	<	     0.450	 781	  3 obs. 10/86-06/87; comp.B;
